"","dangshen","huangqi"
"OSBPL9",-0.470913420333333,-0.56818945
"CNOT7",-0.458293113333333,0.126963556
"BAIAP2",0.471138992999999,-0.618923420333333
"LAIR2",0.464451535666666,0.65438159
"HSD3B7",0.503758824666666,-0.880156660333336
"P2RY6",0.505489792999999,0.868386915999999
"LOC100133055",-0.564781864666668,-0.362980036666667
"CLCF1",0.481754356,-0.679616886333333
"SLC17A2",0.643767776666665,-0.588434377333333
"NDRG1",0.572810312999997,-0.849413279333334
"FAM69B",-0.457908367333334,0.539864728666666
"LOC553158",0.452186016666665,-0.623769837333333
"SNORD96A",0.447031688333334,-0.56778477
"STAG3L2",-0.460261165666667,-0.523285348000001
"MIB2",0.631120204333332,-0.939515210000001
"LCN15",-0.449776387,-1.08565455066667
"ACOX2",0.463524336666665,-0.631738828333335
